,tipo,lat,lon,name,address,size,Distrito,count_rel
0,college,40.4270218,-3.7017956,Colegio Marín Amat,NO STREET 9999,1,Madrid,0.08972536859181418
1,college,40.4107469,-3.7129528,Centro de enseñanza Afuera II,NO STREET 9999,1,Madrid,0.08972536859181418
2,college,40.4259867,-3.6985632,Torval'l Formación,NO STREET 9999,1,Madrid,0.08972536859181418
3,college,40.4341776,-3.7175148,Centro de Estudios Díaz-Balaguer,NO STREET 9999,1,Madrid,0.08972536859181418
4,college,40.4219785,-3.7091246,Instituto Vox,NO STREET 9999,1,Madrid,0.08972536859181418
5,college,40.4232128,-3.7100844,Quick,NO STREET 9999,1,Madrid,0.08972536859181418
6,college,40.4143134,-3.7012985,Centro de enseñanza Afuera I,NO STREET 9999,1,Madrid,0.08972536859181418
7,college,40.4157649,-3.7091042,Centro Teide II,NO STREET 9999,1,Madrid,0.08972536859181418
8,college,40.4271234,-3.6699409,"Organización Profesional Española, Opesa",NO STREET 9999,1,Madrid,0.08972536859181418
9,college,40.4298593,-3.6712953,C.Est.Profes.Advos.y Lingüísticos (Cepal),NO STREET 9999,1,Madrid,0.08972536859181418
10,college,40.4148943,-3.7035557,Centro de Formación Técnica,NO STREET 9999,1,Madrid,0.08972536859181418
11,college,40.4271337,-3.6862022,Institución Artística de Enseñanza (IADE),Calle de Claudio Coello 48,1,Madrid,0.08972536859181418
12,college,40.4456104,-3.706672,Centro de enseñanza CENEC,NO STREET 9999,1,Madrid,0.08972536859181418
13,college,40.4482889,-3.707176,Esc.Técnica de Enseñanzas Especializadas,NO STREET 9999,1,Madrid,0.08972536859181418
14,college,40.4370892,-3.6720933,CES Escuela Superior de Imagen y Sonido,NO STREET 9999,1,Madrid,0.08972536859181418
15,college,40.4284363,-3.6852236,Escuela Superior de Secretarias,NO STREET 9999,1,Madrid,0.08972536859181418
16,college,40.4259239,-3.698625,Torval'l Formación,NO STREET 9999,1,Madrid,0.08972536859181418
17,college,40.4533223,-3.7187131,CEU-Instituto Superior de Estudios Profesionales,NO STREET 9999,1,Madrid,0.08972536859181418
18,college,40.403064,-3.6735361,Serinter,NO STREET 9999,1,Madrid,0.08972536859181418
19,college,40.4373652,-3.7154613,Centro de Estudios del Vídeo (CEV),NO STREET 9999,1,Madrid,0.08972536859181418
20,college,40.4222168,-3.7141346,Centro de Estudios Turísticos Ábaco,NO STREET 9999,1,Madrid,0.08972536859181418
21,college,40.4606143,-3.6741176,St. Anne´s School,NO STREET 9999,1,Madrid,0.08972536859181418
22,college,40.4219683,-3.7091222,Instituto Vox (FP),NO STREET 9999,1,Madrid,0.08972536859181418
23,college,40.4443713,-3.6724917,CESUR Madrid,NO STREET 9999,1,Madrid,0.08972536859181418
24,college,40.4324967,-3.6736978,Escuela Europea de Ayudantes de Dirección,NO STREET 9999,1,Madrid,0.08972536859181418
25,college,40.4333387,-3.6852449,Centro de Formación Comercial de Repsol YPF,NO STREET 9999,1,Madrid,0.08972536859181418
26,college,40.4303726,-3.6723617,San Román Escuela de Estudios Superiores,NO STREET 9999,1,Madrid,0.08972536859181418
27,college,40.4475668,-3.6728483,Centro CEPAL 2,NO STREET 9999,1,Madrid,0.08972536859181418
28,college,40.4220517,-3.6906886,Instituto Superior de Derecho y Economía,NO STREET 9999,1,Madrid,0.08972536859181418
29,college,40.4216656,-3.7072674,IED Madrid,Calle de la Flor Alta 8,1,Madrid,0.08972536859181418
30,college,40.4228962,-3.7070523,IDEM,Calle de la Luna 19,1,Madrid,0.08972536859181418
31,college,40.4224079,-3.7061228,Laocoonte,Calle de la Luna 20,1,Madrid,0.08972536859181418
32,college,40.4270717,-3.6728627,Centro de Estudios Adams,Calle de Ayala 130,1,Madrid,0.08972536859181418
33,college,40.4202423,-3.7086547,Alliance Française,Cuesta de Santo Domingo 13,1,Madrid,0.08972536859181418
34,college,40.426167,-3.7073135,Come mai?,Calle de San Vicente Ferrer 64,1,Madrid,0.08972536859181418
35,college,40.4251346,-3.7051043,MacLuque School of English,Calle del Tesoro 14,1,Madrid,0.08972536859181418
36,college,40.4236895,-3.7028536,devorador.es,Calle de El Escorial 3,1,Madrid,0.08972536859181418
37,college,40.4278637,-3.7075402,ACYM,Calle de San Dimas 15,1,Madrid,0.08972536859181418
38,college,40.4302083,-3.7077568,Círculo de Baile,Plaza del Conde del Valle Suchil 3,1,Madrid,0.08972536859181418
39,college,40.425965,-3.7055374,Quattrocento,Calle de San Vicente Ferrer 48,1,Madrid,0.08972536859181418
40,college,40.4077392,-3.71104,Isa Escuela de Diseño y Moda,Calle de Toledo 119,1,Madrid,0.08972536859181418
41,college,40.4266157,-3.7191973,Hanban,Paseo del Pintor Rosales 26,1,Madrid,0.08972536859181418
42,college,40.4214693,-3.7034944,Kitchen Club,Calle de la Ballesta 8,1,Madrid,0.08972536859181418
43,college,40.421763,-3.7137542,trazos_,Cuesta de San Vicente 4,1,Madrid,0.08972536859181418
44,college,40.4023653,-3.6986708,IMF Business School,NO STREET 9999,1,Madrid,0.08972536859181418
45,college,40.4598502,-3.6856642,DeRose Method Madrid,NO STREET 9999,1,Madrid,0.08972536859181418
46,college,40.4489396,-3.7086177,Escuela infantil Guaderia Bollitos,doctor federico rubio y gali 9999,1,Madrid,0.08972536859181418
47,college,40.4317009,-3.6921969,Instituto Coordenadas de Gobernanza y Economía Aplicada,Calle de Almagro 25,1,Madrid,0.08972536859181418
48,college,40.4224217,-3.7069605,Academía Accede,Calle de la Estrella 20,1,Madrid,0.08972536859181418
49,school,40.4055413,-3.6914671,Colegio Público Menéndez y Pelayo,NO STREET 9999,1,Madrid,0.08972536859181418
50,school,40.4021177,-3.7031018,Colegio Público San Eugenio y San Isidro,NO STREET 9999,1,Madrid,0.08972536859181418
51,school,40.4423626,-3.6871913,Colegio Público Ramiro de Maeztu,NO STREET 9999,1,Madrid,0.08972536859181418
52,school,40.4262288,-3.7134168,Colegio Madres Concepcionistas,Calle de la Princesa 19,1,Madrid,0.08972536859181418
